"age","percentage"
"75 years old and over","0.06253265832326814518"
"Under 25 years old","0.01627562339920677751"
"25 to 29 years old","0.23471162165171879149"
"30 to 34 years old","0.36063355005610807014"
"35 to 44 years old","0.44886456111496586402"
"45 to 54 years old","0.32808230325769451511"
"55 to 64 years old","0.23642484516742476807"
"65 to 74 years old","0.07966489348032791098"
"75 years old and over","0.03769091734553148477"
"Under 25 years old","0.06681571711253308663"
"25 to 29 years old","0.20216037485330523647"
"30 to 34 years old","0.21929261001036500227"
"35 to 44 years old","0.37605256169746185936"
"45 to 54 years old","0.25612691559804349875"
"55 to 64 years old","0.13191821070936019668"
"65 to 74 years old","0.04882687019762033254"
"75 years old and over","0.03426447031411953160"
"Under 25 years old","0.77352041734124842598"
"25 to 29 years old","0.04540042316620837938"
"30 to 34 years old","0.10878969324732951284"
"35 to 44 years old","0.12249548137297732549"
"45 to 54 years old","0.19959053957974627160"
"55 to 64 years old","0.14648061059286099761"
"65 to 74 years old","0.07966489348032791098"
"75 years old and over","0.05567976426044423886"
"Under 25 years old","0.02398512921988367212"
"25 to 29 years old","0.07623844644891595782"
"30 to 34 years old","0.10793308148947652455"
"35 to 44 years old","0.10964630500518250114"
"45 to 54 years old","0.08223472875388687585"
"55 to 64 years old","0.03854752910338447306"
"65 to 74 years old","0.04797025843976734425"
"75 years old and over","0.03683430558767849648"
"Under 25 years old","0.33921825610978336289"
"25 to 29 years old","0.000000000000000000000000"
"30 to 34 years old","0.05225331722903228570"
"35 to 44 years old","0.08480456402744584072"
"45 to 54 years old","0.08737439930100480559"
"55 to 64 years old","0.05996282304970918031"
"65 to 74 years old","0.03683430558767849648"
"75 years old and over","0.05396654074473826228"
"Under 25 years old","0.04797025843976734425"
"25 to 29 years old","0.16104301047636179854"
"30 to 34 years old","0.22614550407318890859"
"35 to 44 years old","0.28867816239645705377"
"45 to 54 years old","0.28268188009148613574"
"55 to 64 years old","0.13448804598291916155"
"65 to 74 years old","0.03169463504056056673"
"75 years old and over","0.000000000000000000000000"
