homeownership,income,age,amount,year
renter,$50000 to $59999,45 to 54 years old,440,2011
renter,$50000 to $59999,55 to 64 years old,225,2011
renter,$50000 to $59999,65 to 74 years old,106,2011
renter,$50000 to $59999,75 years old and over,50,2011
renter,$60000 to $79999,Under 25 years old,250,2011
renter,$60000 to $79999,25 to 29 years old,613,2011
renter,$60000 to $79999,30 to 34 years old,631,2011
renter,$60000 to $79999,35 to 44 years old,796,2011
renter,$60000 to $79999,45 to 54 years old,634,2011
renter,$60000 to $79999,55 to 64 years old,387,2011
renter,$60000 to $79999,65 to 74 years old,122,2011
renter,$60000 to $79999,75 years old and over,76,2011
renter,$80000 to $99999,Under 25 years old,127,2011
renter,$80000 to $99999,25 to 29 years old,338,2011
renter,$80000 to $99999,30 to 34 years old,374,2011
renter,$80000 to $99999,35 to 44 years old,413,2011
renter,$80000 to $99999,45 to 54 years old,342,2011
renter,$80000 to $99999,55 to 64 years old,215,2011
renter,$80000 to $99999,65 to 74 years old,42,2011
renter,$80000 to $99999,75 years old and over,26,2011
renter,$100000 to $119999,Under 25 years old,44,2011
renter,$100000 to $119999,25 to 29 years old,182,2011
renter,$100000 to $119999,30 to 34 years old,206,2011
renter,$100000 to $119999,35 to 44 years old,231,2011
renter,$100000 to $119999,45 to 54 years old,199,2011
renter,$100000 to $119999,55 to 64 years old,101,2011
renter,$100000 to $119999,65 to 74 years old,14,2011
renter,$100000 to $119999,75 years old and over,16,2011
renter,$120000 or more,Under 25 years old,87,2011
renter,$120000 or more,25 to 29 years old,270,2011
renter,$120000 or more,30 to 34 years old,322,2011
renter,$120000 or more,35 to 44 years old,446,2011
renter,$120000 or more,45 to 54 years old,260,2011
renter,$120000 or more,55 to 64 years old,138,2011
renter,$120000 or more,65 to 74 years old,25,2011
renter,$120000 or more,75 years old and over,24,2011
owner,Less than $10000,Under 25 years old,91,2013
owner,Less than $10000,25 to 29 years old,155,2013
owner,Less than $10000,30 to 34 years old,232,2013
owner,Less than $10000,35 to 44 years old,367,2013
owner,Less than $10000,45 to 54 years old,717,2013
owner,Less than $10000,55 to 64 years old,1005,2013
owner,Less than $10000,65 to 74 years old,866,2013
owner,Less than $10000,75 years old and over,1192,2013
owner,$10000 to $19999,Under 25 years old,56,2013
owner,$10000 to $19999,25 to 29 years old,126,2013
owner,$10000 to $19999,30 to 34 years old,179,2013
owner,$10000 to $19999,35 to 44 years old,383,2013
owner,$10000 to $19999,45 to 54 years old,588,2013
owner,$10000 to $19999,55 to 64 years old,1087,2013
owner,$10000 to $19999,65 to 74 years old,1404,2013
owner,$10000 to $19999,75 years old and over,2027,2013
owner,$20000 to $29999,Under 25 years old,110,2013
owner,$20000 to $29999,25 to 29 years old,200,2013
owner,$20000 to $29999,30 to 34 years old,344,2013
owner,$20000 to $29999,35 to 44 years old,686,2013
owner,$20000 to $29999,45 to 54 years old,1116,2013
owner,$20000 to $29999,55 to 64 years old,1524,2013
owner,$20000 to $29999,65 to 74 years old,1855,2013
owner,$20000 to $29999,75 years old and over,1948,2013
owner,$30000 to $39999,Under 25 years old,139,2013
owner,$30000 to $39999,25 to 29 years old,243,2013
owner,$30000 to $39999,30 to 34 years old,416,2013
owner,$30000 to $39999,35 to 44 years old,786,2013
owner,$30000 to $39999,45 to 54 years old,940,2013
owner,$30000 to $39999,55 to 64 years old,1466,2013
owner,$30000 to $39999,65 to 74 years old,1450,2013
owner,$30000 to $39999,75 years old and over,1228,2013
owner,$40000 to $49999,Under 25 years old,111,2013
owner,$40000 to $49999,25 to 29 years old,346,2013
owner,$40000 to $49999,30 to 34 years old,353,2013
owner,$40000 to $49999,35 to 44 years old,822,2013
owner,$40000 to $49999,45 to 54 years old,1217,2013
owner,$40000 to $49999,55 to 64 years old,1371,2013
owner,$40000 to $49999,65 to 74 years old,1195,2013
owner,$40000 to $49999,75 years old and over,891,2013
owner,$50000 to $59999,Under 25 years old,68,2013
owner,$50000 to $59999,25 to 29 years old,339,2013
owner,$50000 to $59999,30 to 34 years old,466,2013
owner,$50000 to $59999,35 to 44 years old,915,2013
owner,$50000 to $59999,45 to 54 years old,1185,2013
owner,$50000 to $59999,55 to 64 years old,1268,2013
owner,$50000 to $59999,65 to 74 years old,943,2013
owner,$50000 to $59999,75 years old and over,622,2013
owner,$60000 to $79999,Under 25 years old,111,2013
owner,$60000 to $79999,25 to 29 years old,495,2013
owner,$60000 to $79999,30 to 34 years old,878,2013
owner,$60000 to $79999,35 to 44 years old,1927,2013
owner,$60000 to $79999,45 to 54 years old,2331,2013
owner,$60000 to $79999,55 to 64 years old,2217,2013
owner,$60000 to $79999,65 to 74 years old,1447,2013
owner,$60000 to $79999,75 years old and over,829,2013
owner,$80000 to $99999,Under 25 years old,25,2013
owner,$80000 to $99999,25 to 29 years old,371,2013
owner,$80000 to $99999,30 to 34 years old,766,2013
owner,$80000 to $99999,35 to 44 years old,1670,2013
owner,$80000 to $99999,45 to 54 years old,2007,2013
owner,$80000 to $99999,55 to 64 years old,1714,2013
owner,$80000 to $99999,65 to 74 years old,925,2013
owner,$80000 to $99999,75 years old and over,425,2013
owner,$100000 to $119999,Under 25 years old,13,2013
owner,$100000 to $119999,25 to 29 years old,265,2013
owner,$100000 to $119999,30 to 34 years old,556,2013
owner,$100000 to $119999,35 to 44 years old,1315,2013
owner,$100000 to $119999,45 to 54 years old,1645,2013
owner,$100000 to $119999,55 to 64 years old,1420,2013
owner,$100000 to $119999,65 to 74 years old,499,2013
